"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"182","-2475","-3487.5",6.9,9.3,11.7,10.5,10.5,10.8,9.6,7.2,6.6,8.4,7.5,6
"183","-2400","-3487.5",15.3,21.9,27,24.9,21.9,21.6,20.7,15.9,15,18.3,17.4,14.1
"184","-2325","-3487.5",30.3,41.1,48.3,56.4,54.6,54.6,56.7,42.3,39.3,39.6,31.2,30.3
"185","1050","-3487.5",113.1,157.5,96.9,47.1,11.4,1.2,4.5,2.1,5.1,13.8,35.7,69
"186","1125","-3487.5",167.7,207.3,159.3,91.8,36.3,7.8,8.4,9,19.5,41.4,81.9,144.3
"187","1200","-3487.5",121.8,138.9,119.1,90.3,64.8,39,26.7,21,40.8,48,77.4,120.6
"188","1275","-3487.5",83.7,79.2,82.8,75.3,74.1,48,12,8.1,30.6,50.4,81.9,102.6
"189","1350","-3487.5",111.3,99.3,99.9,92.4,93.3,56.7,10.5,7.2,32.7,72.3,114,139.8
"190","1425","-3487.5",146.1,126,114.3,105.9,101.4,64.2,15.6,10.8,43.8,105.9,156.6,183.6
"191","1500","-3487.5",123,111.6,98.4,81.3,85.5,69,26.7,19.2,45.9,104.1,141.3,157.5
"192","1575","-3487.5",88.5,85.5,90.9,92.7,110.4,123.6,93.6,66.9,69.9,98.7,106.5,104.7
"193","1650","-3487.5",16.2,17.1,20.1,33.9,78.6,109.5,103.2,81.3,34.5,21.6,15,13.5
"194","1725","-3487.5",12.9,15.6,15.3,25.5,75.3,100.2,109.5,89.4,32.7,15.6,10.5,10.8
"195","1800","-3487.5",15.9,18.9,19.2,26.4,72,93.9,129,98.7,40.2,20.1,15,14.7
"196","1875","-3487.5",16.5,18.6,21.9,25.5,50.7,75.6,120.3,91.2,42.9,26.1,15.9,15.3
"197","1950","-3487.5",20.7,22.5,27.6,29.4,34.5,63.9,106.2,86.4,50.1,36.6,23.7,23.4
"198","2025","-3487.5",22.8,20.4,25.2,21.6,20.7,46.8,64.2,62.4,54.3,38.7,28.2,24.3
"199","2100","-3487.5",16.2,14.4,13.5,12.9,11.1,17.4,23.1,30.6,38.7,26.1,20.7,14.7
"200","-2700","-3375",0,0,0,0,0,0,0,0,0,0,0,0
"201","-2625","-3375",2.4,3.3,4.2,3.9,5.1,4.5,3.9,3.3,3,3.3,2.7,2.7
"202","-2550","-3375",4.2,5.7,6.6,6.9,7.5,7.2,6.6,5.4,5.4,5.1,5.4,5.1
"203","-2475","-3375",6,7.8,10.2,9.9,10.2,10.5,9.3,7.2,6.6,7.5,6.6,5.4
"204","-2400","-3375",15.3,21.9,28.2,27.9,24.6,24,24,18.6,17.1,19.2,17.1,14.7
"205","-2325","-3375",33.6,45.3,54,62.7,59.4,59.4,60.9,45,40.8,41.4,34.2,33
"206","975.00 -","3375",90.9,120.9,66.6,32.7,8.1,6,19.5,29.7,24.9,24.6,30,42.9
"207","1050","-3375",88.2,118.5,75.9,45.6,15,6.9,15.6,26.7,32.1,26.4,36.3,57
"208","1125","-3375",85.2,109.2,86.7,63,32.7,16.5,27,25.8,35.7,34.8,45.3,68.1
"209","1200","-3375",68.4,81.9,74.4,71.4,57,33.6,27.6,24.6,44.7,41.7,47.4,64.8
"210","1275","-3375",62.7,63.3,61.5,69.9,75,48.3,18.3,15.9,38.7,47.7,57.3,71.7
"211","1350","-3375",79.8,75.6,71.1,80.7,92.4,65.7,19.5,13.8,42.6,58.2,74.1,95.1
"212","1425","-3375",73.2,67.5,63.6,70.2,83.7,57,20.4,13.2,34.8,53.7,71.7,88.5
"213","1500","-3375",71.1,73.2,83.4,88.5,118.8,111,69.9,45,55.8,75,79.5,81.9
"214","1575","-3375",11.1,10.5,15.6,35.1,72.9,94.8,87.6,61.8,28.5,18,7.8,8.1
